hostname;mainIp;cpu;ram;hd
bv2160592;bv2160592;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160593;bv2160593;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160594;bv2160594;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160596;bv2160596;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;942.54 GB
bv2160597;bv2160597;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160598;bv2160598;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160599;bv2160599;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160600;bv2160600;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160601;bv2160601;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160602;bv2160602;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160603;bv2160603;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160604;bv2160604;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160605;bv2160605;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160606;bv2160606;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160607;bv2160607;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160608;bv2160608;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160609;bv2160609;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160610;bv2160610;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160611;bv2160611;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160612;bv2160612;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160613;bv2160613;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160614;bv2160614;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160615;bv2160615;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160616;bv2160616;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160617;bv2160617;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160618;bv2160618;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160622;BV2160622;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
BV2160636;BV2160636;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.92 GB
BV2160637;BV2160637;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160638;bv2160638;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160639;bv2160639;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160641;bv2160641;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160642;bv2160642;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160643;bv2160643;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160644;BV2160644;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160645;bv2160645;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160646;bv2160646;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160647;bv2160647;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160648;bv2160648;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160649;BV2160649;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160650;bv2160650;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160651;bv2160651;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160652;bv2160652;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160653;bv2160653;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160654;bv2160654;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160655;bv2160655;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160656;BV2160656;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160657;BV2160657;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160658;bv2160658;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160659;bv2160659;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160661;bv2160661;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160662;bv2160662;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160663;bv2160663;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160665;BV2160665;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160666;BV2160666;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160667;bv2160667;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160668;bv2160668;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;520.45 GB
bv2160669;bv2160669;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv216067;bv216067;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;520.42 GB
BV2160670;BV2160670;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160671;bv2160671;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160672;bv2160672;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160673;bv2160673;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160674;bv2160674;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;923.92 GB
bv2160675;bv2160675;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160676;bv2160676;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160678;bv2160678;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160679;BV2160679;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160680;BV2160680;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
bv2160681;bv2160681;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160682;bv2160682;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160684;bv2160684;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160685;bv2160685;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160686;BV2160686;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160687;bv2160687;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;951.62 GB
BV2160688;BV2160688;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160689;bv2160689;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160690;BV2160690;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;534.63 GB
BV2160691;BV2160691;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160692;bv2160692;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160693;bv2160693;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160695;BV2160695;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160697;bv2160697;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160698;bv2160698;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160699;bv2160699;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160700;bv2160700;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160701;bv2160701;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160702;BV2160702;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160703;bv2160703;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160704;BV2160704;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160705;BV2160705;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160706;bv2160706;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160708;bv2160708;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160709;bv2160709;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160711;bv2160711;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160712;BV2160712;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;951.62 GB
bv2160713;bv2160713;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160715;bv2160715;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160716;BV2160716;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160718;BV2160718;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160866;BV2160866;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160868;BV2160868;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160869;bv2160869;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160871;BV2160871;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160873;bv2160873;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160876;BV2160876;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160877;bv2160877;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160878;bv2160878;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160880;BV2160880;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;506.15 GB
BV2160881;BV2160881;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160888;bv2160888;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160889;BV2160889;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;506.01 GB
BV2160890;BV2160890;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160891;BV2160891;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160894;BV2160894;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV216694;BV216694;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2BKP002;BV2BKP002;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;12109.11 GB
BV2DNS02;BV2DNS02;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;930.92 GB
BV2FILE002;BV2FILE002;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;9311.43 GB
BV2FILE003;BV2FILE003;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;21229.44 GB
BV2FILE014;BV2FILE014;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;2328.67 GB
bv2I5I648;bv2I5I648;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.47 GB
BV2RTR002;BV2RTR002;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;149.04 GB
BV3006082;BV3006082;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;111.74 GB
BV3006083;BV3006083;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;111.74 GB
BV3006087;BV3006087;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;111.74 GB
BV3006089;BV3006089;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;113.22 GB
BV306084;BV306084;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;111.73 GB
bv3150468;bv3150468;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.21 GB
BV3150474;BV3150474;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;149.05 GB
BV3150475;BV3150475;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
BV3150479;BV3150479;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;1.0 GB;465.76 GB
bv3150522;bv3150522;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.71 GB
BV3150573;BV3150573;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
BV3150576;BV3150576;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;232.89 GB
BV3150583;BV3150583;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
BV3150584;BV3150584;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;6.0 GB;465.76 GB
BV3150599;BV3150599;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;2.0 GB;465.76 GB
BV3150610;BV3150610;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
BV3150613;BV3150613;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
BV3150624;BV3150624;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
bv3150675;bv3150675;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.66 GB
BV3150680;BV3150680;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
BV3150694;BV3150694;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
bv3151352;bv3151352;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.20 GB
bv3151378;bv3151378;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
bv3151554;bv3151554;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.00 GB
BV3152443;BV3152443;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV3152446;BV3152446;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV3152447;BV3152447;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
bv3153448;bv3153448;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.20 GB
BV3153562;BV3153562;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;111.67 GB
BV3153563;BV3153563;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;119.19 GB
BV3154392;BV3154392;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3154398;BV3154398;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
bv3154399;bv3154399;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;476.82 GB
BV3154402;BV3154402;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.00 GB
BV3154406;BV3154406;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3154411;BV3154411;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3154413;BV3154413;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.65 GB
BV3154414;BV3154414;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.01 GB
BV3154415;BV3154415;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3154416;BV3154416;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3154417;BV3154417;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.00 GB
BV3154476;BV3154476;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.45 GB
BV3154659;BV3154659;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3154661;BV3154661;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3154672;BV3154672;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.01 GB
bv3154691;bv3154691;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;237.72 GB
BV3154692;BV3154692;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;223.44 GB
BV3154702;BV3154702;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
bv3154703;bv3154703;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3154727;BV3154727;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3154731;BV3154731;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3154736;BV3154736;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3154746;BV3154746;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.34 GB
BV3154747;BV3154747;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.34 GB
BV3154749;BV3154749;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;942.44 GB
BV3154767;BV3154767;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
bv3154774;bv3154774;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.02 GB
BV3154775;BV3154775;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.44 GB
BV3154776;BV3154776;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3154777;BV3154777;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.02 GB
BV3154778;BV3154778;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.44 GB
BV3154779;BV3154779;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3154783;BV3154783;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3155318;BV3155318;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155745;BV3155745;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155747;BV3155747;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155748;BV3155748;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155750;BV3155750;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155751;BV3155751;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
bv3155753;bv3155753;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155755;BV3155755;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.01 GB
BV3155756;BV3155756;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155757;BV3155757;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155759;BV3155759;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155760;BV3155760;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3155762;BV3155762;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155763;BV3155763;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;464.65 GB
BV3155765;BV3155765;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.02 GB
BV3155766;BV3155766;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
bv3155768;bv3155768;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;238.36 GB
BV3155769;BV3155769;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
bv3155771;bv3155771;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3155772;BV3155772;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155773;BV3155773;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155774;BV3155774;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;689.07 GB
BV3155775;BV3155775;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;689.07 GB
BV3155777;BV3155777;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155778;BV3155778;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155780;BV3155780;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155781;BV3155781;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155782;BV3155782;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155783;BV3155783;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155784;BV3155784;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155785;BV3155785;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155786;BV3155786;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155789;BV3155789;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155790;BV3155790;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155791;BV3155791;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155792;BV3155792;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155795;BV3155795;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.33 GB
BV3155796;BV3155796;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;238.35 GB
bv3155798;bv3155798;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3155799;BV3155799;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155802;BV3155802;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155803;BV3155803;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155804;BV3155804;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;703.96 GB
BV3155805;BV3155805;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155806;BV3155806;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;703.96 GB
BV3155808;BV3155808;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155809;BV3155809;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155810;BV3155810;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;476.82 GB
BV3155811;BV3155811;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155812;BV3155812;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3155813;BV3155813;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV3155814;BV3155814;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155816;BV3155816;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155817;BV3155817;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155818;BV3155818;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV3155819;BV3155819;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;237.82 GB
BV3155820;BV3155820;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
BV3155821;BV3155821;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.35 GB
