hostname;mainIp;cpu;ram;hd
BV2151407;BV2151407;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
BV2151442;BV2151442;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1397.27 GB
bv2151467;bv2151467;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;237.92 GB
BV2151474;BV2151474;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2151479;BV2151479;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;1169.98 GB
BV2151485;BV2151485;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151493;bv2151493;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.20 GB
BV2151498;BV2151498;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.42 GB
BV2151500;BV2151500;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.43 GB
BV2151501;BV2151501;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.48 GB
BV2151502;BV2151502;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;223.52 GB
bv2151503;bv2151503;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.72 GB
bv2151509;bv2151509;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.20 GB
BV2151513;BV2151513;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.02 GB
bv2151514;bv2151514;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.22 GB
BV2151515;BV2151515;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;689.32 GB
bv2151516;bv2151516;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;237.92 GB
bv2151517;bv2151517;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
BV2151518;BV2151518;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1167.98 GB
bv2151519;bv2151519;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1169.99 GB
bv2151537;bv2151537;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;535.50 GB
BV2151539;BV2151539;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.18 GB
BV2151540;BV2151540;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.38 GB
BV2151541;BV2151541;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.18 GB
bv2151544;bv2151544;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.72 GB
BV2151545;BV2151545;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;704.01 GB
bv2151546;bv2151546;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.71 GB
BV2151547;BV2151547;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.47 GB
bv2151556;bv2151556;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
BV2151558;BV2151558;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151559;bv2151559;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.70 GB
BV2151561;BV2151561;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;536.52 GB
BV2151565N;BV2151565N;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
bv2151584;bv2151584;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.18 GB
bv2151608;bv2151608;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;237.92 GB
bv2151609;bv2151609;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151612;bv2151612;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;238.92 GB
BV2151614;BV2151614;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1635.58 GB
bv2151616;bv2151616;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151617;bv2151617;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.38 GB
BV2151619;BV2151619;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.56 GB
BV2151635;BV2151635;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
bv2151636;bv2151636;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.88 GB
bv2151637;bv2151637;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1169.98 GB
bv2151638;bv2151638;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.47 GB
bv2151639;bv2151639;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;1155.03 GB
bv2151641;bv2151641;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1169.93 GB
bv2151642;bv2151642;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.18 GB
bv2151647;bv2151647;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;1169.43 GB
bv2151648;bv2151648;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.47 GB
BV2151666;BV2151666;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151676;bv2151676;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;237.92 GB
bv2151682;bv2151682;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.12 GB
bv2151687;bv2151687;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
bv2151688;bv2151688;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;476.94 GB
BV2151691;BV2151691;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;238.43 GB
bv2151698;bv2151698;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;237.92 GB
bv2151700;bv2151700;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.20 GB
bv2151702;bv2151702;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;704.03 GB
BV2151704;BV2151704;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;N/A
bv2151732;bv2151732;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.37 GB
bv2151736;bv2151736;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.24 GB
bv2151737;bv2151737;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.47 GB
BV2151747;BV2151747;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;1169.86 GB
BV2151748;BV2151748;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;931.41 GB
bv2151749;bv2151749;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1169.82 GB
BV2151757;BV2151757;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;536.52 GB
BV2151758;BV2151758;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.18 GB
bv2152170;bv2152170;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;465.65 GB
BV2152445;BV2152445;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
bv2152774;bv2152774;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;1408.45 GB
BV2152775;BV2152775;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;2101.43 GB
BV2152776;BV2152776;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;222.96 GB
BV2152777;BV2152777;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;1378.64 GB
BV2153448;BV2153448;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.82 GB
BV2153453;BV2153453;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;942.37 GB
BV2153460;BV2153460;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1825.57 GB
BV2154388;BV2154388;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.08 GB
BV2154394;BV2154394;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154395;BV2154395;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;930.14 GB
BV2154396;BV2154396;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV2154409;BV2154409;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.30 GB
BV2154420;BV2154420;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154421;BV2154421;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.26 GB
bv2154422;bv2154422;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.81 GB
BV2154423;BV2154423;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;703.96 GB
BV2154425;BV2154425;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.98 GB
BV2154426;BV2154426;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.02 GB
BV2154428;BV2154428;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;942.43 GB
BV2154431;BV2154431;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV2154435;BV2154435;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
bv2154436;bv2154436;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.01 GB
BV2154439;BV2154439;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.10 GB
BV2154440;BV2154440;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.62 GB
BV2154442;BV2154442;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154443;BV2154443;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;689.06 GB
BV2154447;BV2154447;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154453;BV2154453;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.65 GB
BV2154461;BV2154461;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154463;BV2154463;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1169.24 GB
BV2154470;BV2154470;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154477;BV2154477;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154478;BV2154478;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;942.43 GB
BV2154483;BV2154483;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;979.03 GB
